date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:34%20GMT	https://mc-blaze.com/skyblock-rules	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/skyblock-rules	(from https://mc-blaze.com/rules/)
09:00:57	24389/24389	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:34%20GMT	https://mc-blaze.com/skyblock-rules/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/skyblock-rules/index.html	(from https://mc-blaze.com/rules/)
09:00:57	741076/741076	---M--	200	added ('OK')	image/png	etag:%2246147d84ae73feb31811f3ad84e8e5e1%22	https://i.imgur.com/gl6Csx9.png	C:/Users/thanh/Desktop/alphasdsasd/Test/i.imgur.com/gl6Csx9.png	(from https://mc-blaze.com/rules/)
09:00:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:35%20GMT	https://mc-blaze.com/survival-rules	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/survival-rules	(from https://mc-blaze.com/rules/)
09:00:58	24383/24383	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:35%20GMT	https://mc-blaze.com/survival-rules/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/survival-rules/index.html	(from https://mc-blaze.com/rules/)
09:00:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:35%20GMT	https://mc-blaze.com/discord-rules	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/discord-rules	(from https://mc-blaze.com/rules/)
09:00:58	656904/656904	---M--	200	added ('OK')	image/png	etag:%226a65fa3cb58075ac54344002738c91ed%22	https://i.imgur.com/PlWEozp.png	C:/Users/thanh/Desktop/alphasdsasd/Test/i.imgur.com/PlWEozp.png	(from https://mc-blaze.com/rules/)
09:00:58	633138/633138	---M--	200	added ('OK')	image/png	etag:%221bf08183af48f145fa20e820764b3aa3%22	https://i.imgur.com/XLSSyBx.png	C:/Users/thanh/Desktop/alphasdsasd/Test/i.imgur.com/XLSSyBx.png	(from https://mc-blaze.com/rules/)
09:00:58	20456/20456	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:36%20GMT	https://mc-blaze.com/discord-rules/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/discord-rules/index.html	(from https://mc-blaze.com/rules/)
09:00:59	24403/24403	---M--	200	added ('OK')	image/png	etag:%227a9c2f4bbdd2208389a7ac7e18f8ea01%22	https://i.imgur.com/HdGd4X7.png	C:/Users/thanh/Desktop/alphasdsasd/Test/i.imgur.com/HdGd4X7.png	(from https://mc-blaze.com/rules/)
